Disease,Treatment
Flu,"Rest, hydration, and over-the-counter medications like acetaminophen or ibuprofen."
Cold,"Drink fluids, get plenty of rest, and use saline nasal sprays."
Diabetes,"Regular exercise, healthy eating, blood sugar monitoring, and insulin if prescribed."
COVID-19,"Isolation, rest, fluids, and symptom-based treatment. Seek medical attention for breathing issues."
Migraine,"Over-the-counter pain relievers, staying in a dark quiet room, avoiding known triggers."
Malaria,"Antimalarial drugs like chloroquine, quinine, or artemisinin combination therapies."
Typhoid,"Fever control with paracetamol and antibiotics like ciprofloxacin or azithromycin."
Tuberculosis,"6-9 months of antibiotics like isoniazid, rifampin, ethambutol."
Asthma,"Inhalers (bronchodilators), corticosteroids, and avoiding triggers."
Heart Disease,"Lifestyle changes, medications like beta-blockers, or surgery in severe cases."
Kidney Failure,"Dialysis, medication, lifestyle changes, and in some cases kidney transplant."
Gastric,"Antacids, proton pump inhibitors, dietary adjustments, and stress management."
